scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,63,noisy,0.0001847780,37.333497,0.988574,,58.508389
scene_1,63,2dnr,0.0001847492,37.334174,0.988578,,58.508564
scene_1,63,dataset_3dnr,0.0000844814,40.732388,0.995755,,51.080971
scene_1,63,ghost3dnr,0.0004148473,33.821117,0.988495,,100.005608
scene_1,64,noisy,0.0001851685,37.324328,0.988747,,61.539276
scene_1,64,2dnr,0.0001851379,37.325046,0.988752,,61.538929
scene_1,64,dataset_3dnr,0.0000863250,40.638634,0.995789,,56.787014
scene_1,64,ghost3dnr,0.0003708833,34.307627,0.989174,,104.913620
scene_1,65,noisy,0.0001867273,37.287921,0.988660,,58.771976
scene_1,65,2dnr,0.0001866958,37.288653,0.988665,,58.771225
scene_1,65,dataset_3dnr,0.0000908802,40.415306,0.995821,,54.836052
scene_1,65,ghost3dnr,0.0004514963,33.453458,0.986858,,100.580719
scene_1,66,noisy,0.0001857419,37.310901,0.988856,,58.503952
scene_1,66,2dnr,0.0001857107,37.311631,0.988860,,58.503445
scene_1,66,dataset_3dnr,0.0000848044,40.715815,0.995931,,51.925491
scene_1,66,ghost3dnr,0.0004777402,33.208082,0.984728,,111.782654
scene_1,67,noisy,0.0001854246,37.318327,0.988754,,60.000546
scene_1,67,2dnr,0.0001853947,37.319026,0.988759,,60.000408
scene_1,67,dataset_3dnr,0.0000822138,40.850555,0.996066,,53.019783
scene_1,67,ghost3dnr,0.0004974874,33.032179,0.983995,,121.617065
scene_1,68,noisy,0.0001856201,37.313750,0.988313,,60.217403
scene_1,68,2dnr,0.0001855883,37.314493,0.988317,,60.216881
scene_1,68,dataset_3dnr,0.0000815490,40.885813,0.995925,,53.464355
scene_1,68,ghost3dnr,0.0005097894,32.926092,0.983121,,125.021507
scene_1,69,noisy,0.0001826494,37.383817,0.988668,,59.607624
scene_1,69,2dnr,0.0001826187,37.384548,0.988673,,59.607128
scene_1,69,dataset_3dnr,0.0000842918,40.742149,0.995940,,55.278469
scene_1,69,ghost3dnr,0.0006126635,32.127780,0.981264,,134.183365
scene_1,70,noisy,0.0001829818,37.375922,0.988443,,59.463806
scene_1,70,2dnr,0.0001829502,37.376670,0.988449,,59.463455
scene_1,70,dataset_3dnr,0.0000837823,40.768475,0.995732,,53.862465
scene_1,70,ghost3dnr,0.0007436585,31.286264,0.977346,,139.421600
scene_1,71,noisy,0.0001823451,37.391059,0.988637,,56.444366
scene_1,71,2dnr,0.0001823148,37.391780,0.988641,,56.444012
scene_1,71,dataset_3dnr,0.0000825414,40.833280,0.995743,,49.961803
scene_1,71,ghost3dnr,0.0010850708,29.645419,0.966590,,161.400833
scene_1,72,noisy,0.0001827545,37.381319,0.988300,,58.886646
scene_1,72,2dnr,0.0001827246,37.382029,0.988305,,58.886379
scene_1,72,dataset_3dnr,0.0000811617,40.906486,0.995720,,51.774704
scene_1,72,ghost3dnr,0.0010542745,29.770463,0.964148,,151.248352
scene_1,73,noisy,0.0001814112,37.413359,0.988311,,58.645645
scene_1,73,2dnr,0.0001813804,37.414096,0.988317,,58.644974
scene_1,73,dataset_3dnr,0.0000821772,40.852487,0.995717,,52.630779
scene_1,73,ghost3dnr,0.0007504299,31.246899,0.968566,,138.420639
scene_1,74,noisy,0.0001822362,37.393653,0.988147,,51.306244
scene_1,74,2dnr,0.0001822051,37.394394,0.988148,,51.302929
scene_1,74,dataset_3dnr,0.0000867307,40.618272,0.995672,,45.415237
scene_1,74,ghost3dnr,0.0010928905,29.614233,0.968088,,166.861938
scene_1,75,noisy,0.0001726395,37.628598,0.988805,,48.859867
scene_1,75,2dnr,0.0001726060,37.629441,0.988809,,48.855755
scene_1,75,dataset_3dnr,0.0000845289,40.729947,0.995746,,43.591595
scene_1,75,ghost3dnr,0.0009213332,30.355833,0.970809,,148.676437
scene_1,76,noisy,0.0001745147,37.581680,0.987753,,46.177540
scene_1,76,2dnr,0.0001744800,37.582544,0.987757,,46.170013
scene_1,76,dataset_3dnr,0.0000820271,40.860429,0.995671,,39.693672
