scene,shard,frame,noisy_psnr,wt_psnr,wt_ssim
1,7,12,25.103463420620923,31.17958304694188,0.8265070643047662
1,7,13,25.468352468654057,31.880714826169836,0.8435500823205611
1,7,14,25.415814664082838,31.7972784477671,0.8401993776571121
1,7,15,25.342895021032895,31.555205792392677,0.8372302436275051
1,7,16,25.592271067438492,31.880930362518395,0.8419172619686387
1,7,17,25.596954650109698,31.839300562066857,0.8390478948731619
1,7,18,25.489046492111957,31.79040179372697,0.842362155966049
1,7,19,25.59190832987195,31.809336885349882,0.8417978214441804
1,7,20,25.212083861963496,31.25118267782441,0.8300316185196177
1,7,21,25.579682444458985,31.816464928648397,0.8438723470685499
1,7,22,25.59225374780838,31.725260719057932,0.8403139440599361
1,7,23,25.55830986516977,31.768862333921014,0.840871598125976
1,7,24,25.62238370727794,31.635335378885394,0.832761699044207
1,7,25,25.228637099322068,31.04888660702692,0.8189562446583704
1,7,26,25.21542170347198,31.033461884153578,0.8255850508604986
1,7,27,24.96537981390375,30.362097757790227,0.8033475051881469
1,7,28,25.28745855525555,31.02867778735819,0.8245143578424782
1,7,29,25.326431717443008,31.06061741479249,0.8259595685104245
