scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,64,dataset_3dnr,0.0000405441,43.920720,0.994714,121.284409,56.809769
scene_2,64,ghost3dnr,0.0000945441,40.243657,0.994030,88.096107,98.330772
scene_2,65,noisy,0.0001140095,39.430589,0.986744,765.784485,63.911327
scene_2,65,2dnr,0.0001139652,39.432276,0.986752,763.987732,63.911213
scene_2,65,dataset_3dnr,0.0000411503,43.856269,0.994654,122.420586,56.813618
scene_2,65,ghost3dnr,0.0000525880,42.791137,0.995938,81.524483,79.562431
scene_2,66,noisy,0.0001133127,39.457213,0.987057,761.582336,64.719254
scene_2,66,2dnr,0.0001132685,39.458907,0.987065,759.780029,64.719040
scene_2,66,dataset_3dnr,0.0000411287,43.858548,0.994754,121.443916,57.014343
scene_2,66,ghost3dnr,0.0000514936,42.882470,0.996042,80.713631,81.035240
scene_2,67,noisy,0.0001139946,39.431157,0.986659,770.470581,63.720139
scene_2,67,2dnr,0.0001139511,39.432816,0.986668,768.660278,63.720016
scene_2,67,dataset_3dnr,0.0000405020,43.925240,0.994787,121.614700,55.509136
scene_2,67,ghost3dnr,0.0000789338,41.027369,0.995838,86.491882,104.387161
scene_2,68,noisy,0.0001151534,39.387231,0.986686,768.584534,64.860657
scene_2,68,2dnr,0.0001151085,39.388925,0.986693,766.787842,64.859764
scene_2,68,dataset_3dnr,0.0000418474,43.783314,0.994662,123.215416,57.708244
scene_2,68,ghost3dnr,0.0000719924,41.427132,0.995731,87.807831,96.450096
scene_2,69,noisy,0.0001132656,39.459020,0.987068,761.464417,64.086792
scene_2,69,2dnr,0.0001132236,39.460631,0.987077,759.697571,64.087059
scene_2,69,dataset_3dnr,0.0000405948,43.915293,0.994731,120.775604,56.087936
scene_2,69,ghost3dnr,0.0000572870,42.419442,0.996058,85.448212,82.758125
scene_2,70,noisy,0.0001139760,39.431864,0.986959,769.513245,64.136520
scene_2,70,2dnr,0.0001139318,39.433550,0.986967,767.706848,64.136520
scene_2,70,dataset_3dnr,0.0000406910,43.905016,0.994717,122.239319,56.271236
