scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_4,61,dataset_3dnr,0.0000522668,42.817738,0.994312,128.497482,52.191509
scene_4,61,ghost3dnr,0.0014084403,28.512616,0.951338,91.049263,166.240509
scene_4,62,noisy,0.0001169364,39.320502,0.987076,777.770813,54.336121
scene_4,62,2dnr,0.0001168932,39.322107,0.987083,775.979675,54.335625
scene_4,62,dataset_3dnr,0.0000523524,42.810631,0.994236,127.770851,52.524162
scene_4,62,ghost3dnr,0.0013839492,28.588799,0.951771,87.065613,165.605774
scene_4,63,noisy,0.0001157057,39.366452,0.987085,768.199951,53.561615
scene_4,63,2dnr,0.0001156634,39.368040,0.987093,766.452942,53.561001
scene_4,63,dataset_3dnr,0.0000488632,43.110180,0.994258,126.406929,50.033123
scene_4,63,ghost3dnr,0.0014358686,28.428853,0.950074,85.130417,181.009109
scene_4,64,noisy,0.0001153677,39.379157,0.987072,766.259766,54.299042
scene_4,64,2dnr,0.0001153247,39.380776,0.987081,764.501221,54.299618
scene_4,64,dataset_3dnr,0.0000483516,43.155887,0.994069,127.083557,51.076962
scene_4,64,ghost3dnr,0.0014029247,28.529657,0.952378,84.453842,182.590073
scene_4,65,noisy,0.0001168875,39.322319,0.986901,775.041748,54.781155
scene_4,65,2dnr,0.0001168451,39.323894,0.986910,773.244690,54.780148
scene_4,65,dataset_3dnr,0.0000485136,43.141363,0.994162,126.469116,50.807457
scene_4,65,ghost3dnr,0.0016748244,27.760307,0.951362,83.348129,184.886581
scene_4,66,noisy,0.0001162616,39.345637,0.987146,760.953064,54.639256
scene_4,66,2dnr,0.0001162182,39.347258,0.987154,759.143860,54.639557
scene_4,66,dataset_3dnr,0.0000492041,43.079983,0.994240,124.732033,50.907333
scene_4,66,ghost3dnr,0.0017610517,27.542279,0.955238,82.976440,183.613464
scene_4,67,noisy,0.0001172278,39.309693,0.987167,775.451904,55.084167
scene_4,67,2dnr,0.0001171858,39.311250,0.987177,773.664185,55.083191
scene_4,67,dataset_3dnr,0.0000501669,42.995824,0.994362,128.227829,51.186153
scene_4,67,ghost3dnr,0.0018267678,27.383166,0.952569,80.536400,168.295303
scene_4,68,noisy,0.0001190645,39.242176,0.986909,775.949890,56.308815
scene_4,68,2dnr,0.0001190225,39.243711,0.986915,774.200623,56.308365
scene_4,68,dataset_3dnr,0.0000513032,42.898559,0.994213,128.661453,52.780334
scene_4,68,ghost3dnr,0.0016339263,27.867675,0.958271,83.392601,161.361511
scene_4,69,noisy,0.0001171728,39.311733,0.987430,768.293030,56.009396
scene_4,69,2dnr,0.0001171308,39.313289,0.987439,766.555542,56.007984
scene_4,69,dataset_3dnr,0.0000503115,42.983328,0.994397,126.960938,51.871853
scene_4,69,ghost3dnr,0.0014447928,28.401944,0.958718,82.002220,158.448273
scene_4,70,noisy,0.0001184263,39.265518,0.987065,771.481995,56.425053
scene_4,70,2dnr,0.0001183855,39.267017,0.987074,769.706787,56.424492
scene_4,70,dataset_3dnr,0.0000514605,42.885259,0.994306,127.010033,52.908943
scene_4,70,ghost3dnr,0.0014120335,28.501550,0.962048,82.318779,154.926331
scene_4,71,noisy,0.0001184883,39.263244,0.987330,774.989136,56.483929
scene_4,71,2dnr,0.0001184462,39.264788,0.987338,773.232666,56.484150
scene_4,71,dataset_3dnr,0.0000497502,43.032050,0.994195,127.952484,52.312260
scene_4,71,ghost3dnr,0.0013389338,28.732409,0.962785,83.495117,155.793854
scene_4,72,noisy,0.0001193368,39.232257,0.987108,778.588257,56.068459
scene_4,72,2dnr,0.0001192944,39.233798,0.987117,776.773132,56.067207
scene_4,72,dataset_3dnr,0.0000508462,42.937413,0.994174,127.751938,52.192207
scene_4,72,ghost3dnr,0.0014411407,28.412936,0.961141,81.568840,161.356216
scene_4,73,noisy,0.0001194052,39.229766,0.986945,782.255493,55.664764
scene_4,73,2dnr,0.0001193629,39.231307,0.986952,780.484131,55.663628
scene_4,73,dataset_3dnr,0.0000499430,43.015256,0.994156,129.901749,50.297043
scene_4,73,ghost3dnr,0.0015820633,28.007762,0.958333,82.133644,174.659241
scene_4,74,noisy,0.0001193154,39.233035,0.987152,774.455322,56.054298
scene_4,74,2dnr,0.0001192740,39.234543,0.987159,772.682800,56.053596
scene_4,74,dataset_3dnr,0.0000493515,43.066993,0.994157,127.317253,50.699738
scene_4,74,ghost3dnr,0.0015993653,27.960523,0.958073,81.327530,168.100769
scene_4,75,noisy,0.0001103361,39.572822,0.988414,708.548828,54.565472
scene_4,75,2dnr,0.0001102929,39.574524,0.988423,706.651794,54.564987
scene_4,75,dataset_3dnr,0.0000483189,43.158827,0.994250,128.334839,50.604084
scene_4,75,ghost3dnr,0.0016789241,27.749689,0.955705,80.950386,157.843872
scene_4,76,noisy,0.0001192679,39.234763,0.987370,780.183594,56.860771
scene_4,76,2dnr,0.0001192267,39.236264,0.987376,778.391724,56.859680
scene_4,76,dataset_3dnr,0.0000493648,43.065829,0.994295,127.985367,51.538521
scene_4,76,ghost3dnr,0.0016443098,27.840163,0.953771,81.287071,159.029907
scene_4,77,noisy,0.0001051330,39.782611,0.989147,660.187744,53.027145
scene_4,77,2dnr,0.0001050883,39.784458,0.989156,658.170105,53.026608
scene_4,77,dataset_3dnr,0.0000479588,43.191317,0.994292,127.943718,49.755535
scene_4,77,ghost3dnr,0.0016498077,27.825667,0.953304,79.588531,158.197342
scene_4,78,noisy,0.0001210686,39.169684,0.987197,789.231750,55.346191
scene_4,78,2dnr,0.0001210285,39.171125,0.987204,787.518616,55.344643
scene_4,78,dataset_3dnr,0.0000493036,43.071217,0.994278,128.148438,49.342400
scene_4,78,ghost3dnr,0.0016443121,27.840158,0.953206,79.954689,178.467239
scene_4,79,noisy,0.0001204602,39.191564,0.987086,780.480286,52.853168
scene_4,79,2dnr,0.0001204182,39.193078,0.987095,778.714722,52.849319
scene_4,79,dataset_3dnr,0.0000491361,43.085996,0.994315,127.496498,46.899715
scene_4,79,ghost3dnr,0.0012435549,29.053350,0.957905,79.123161,181.083649
scene_4,80,noisy,0.0001195573,39.224240,0.987322,773.213318,52.368679
scene_4,80,2dnr,0.0001195151,39.225773,0.987330,771.491760,52.365688
scene_4,80,dataset_3dnr,0.0000493869,43.063881,0.994309,127.950073,46.477955
scene_4,80,ghost3dnr,0.0011222672,29.499037,0.959768,81.340759,195.902512
scene_4,81,noisy,0.0001180497,39.279353,0.987459,771.727783,50.918926
scene_4,81,2dnr,0.0001180081,39.280884,0.987465,769.996338,50.914951
scene_4,81,dataset_3dnr,0.0000487857,43.117076,0.994367,125.667976,44.913002
scene_4,81,ghost3dnr,0.0009203362,30.360535,0.962928,81.208435,184.903915
scene_4,82,noisy,0.0001185463,39.261119,0.987274,780.361267,50.818768
scene_4,82,2dnr,0.0001185022,39.262735,0.987284,778.564148,50.813545
scene_4,82,dataset_3dnr,0.0000495212,43.052085,0.994341,130.557724,45.009987
scene_4,82,ghost3dnr,0.0009106772,30.406355,0.958453,81.871254,173.565796
scene_4,83,noisy,0.0001182857,39.270677,0.987249,786.174194,51.738476
scene_4,83,2dnr,0.0001182410,39.272319,0.987258,784.435059,51.733410
scene_4,83,dataset_3dnr,0.0000483203,43.158707,0.994509,126.713516,45.672382
scene_4,83,ghost3dnr,0.0008996282,30.459370,0.959561,84.807373,166.367096
scene_4,84,noisy,0.0001182687,39.271300,0.987193,783.726257,51.304638
scene_4,84,2dnr,0.0001182237,39.272956,0.987202,781.926880,51.301479
scene_4,84,dataset_3dnr,0.0000500414,43.006702,0.994342,128.962906,45.644058
scene_4,84,ghost3dnr,0.0010149034,29.935753,0.956280,90.885925,170.738693
scene_4,85,noisy,0.0001197229,39.218228,0.987442,781.122437,50.790855
scene_4,85,2dnr,0.0001196793,39.219809,0.987453,779.369141,50.788013
